Value of n,Insertion Sort (seconds),Merge Sort (seconds),Hybrid Merge Sort (seconds),Selection Sort (seconds),Bubble Sort (seconds)
100,0.000147,0.000108,1e-06,0.000136,0.000285
1000,0.011848,0.000875,2e-06,0.010059,0.022989
5000,0.266572,0.005608,1e-06,0.266548,0.651901
10000,1.095979,0.012431,3e-06,1.091185,2.598369
20000,4.344394,0.024925,2e-06,4.364555,10.525645
30000,9.684939,0.038515,2e-06,9.575025,23.768727
40000,18.839499,0.060162,3e-06,17.148484,40.642983
50000,26.708104,0.067761,1e-06,26.227621,64.341095
60000,38.345105,0.080751,2e-06,38.200705,92.774051
100000,115.41065,0.166905,4e-06,111.615593,255.240278
500000,2838.552007,0.850346,5e-06,3279.512929,7520.10174
